id,text,sentiment
870430762255953920,"Hey, look - I found my social anxiety again. Was wondering where that went.",1
870430770141253632,RT @shannonpurser: Depression sucks. I'm in the middle of it rn. I know some of you are too. We're going to make it.,1
870430771592413187,RT @HRoyalThighness: Lol my social anxiety goes through the roof. Dunno bout this one mate lol https://t.co/9vTMgnRK7X,1
870430772800479233,"How to Deal with Stress, Anxiety and Bipolar Disorder - Anxiety is one of many troubling symptoms of bipolar di... https://t.co/34Al3y4eAE",1
870430776432644096,RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,0
870430779439841280,@sabbunny I went there last Monday and I almost had an anxiety attack. there were so many people😩but we only spent… https://t.co/tnF3zXXl5T,1
870430780425723904,RT @loopzoop: Hello? 2 hour depression nap? Do you remember me...in monaco... i made u that bracelet,1
870430781927288833,Gossip Girl and Donald Trump give me so much anxiety,1
870430784678703104,"RT @lucasbavid: Me: I am gonna make art today, there's no reason to be depressed all day
My depression: https://t.co/uOD0RacMpB",1
870430796485726208,I'm glad I understand what it is now tho. I used to go through anxiety attacks &amp; be confused &amp; make it worse.,1
870430797723033601,RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,0
870430799950004224,"RT @RTFFacts: According to studies, high-anxiety people are more likely to make bad decisions because they tend to catastrophize uncertain…",0
870430802575753216,"Anyone looking for organic products that can help with; boosting energy, depression, pain, inflammation, diabetes, sleep, and more. DM me 🤙",1
870430804446289921,RT @oraltwjnk: Depression https://t.co/g4QIZjnRj1,1
870430804895313920,UR PRECIOUS AND ADORABLE HBAHDDHADDBAJ https://t.co/MR6GwE7Aex,0
870430807592140801,"I am delighted to pledge support for people with mental health problems, in line with Mind's manifesto:... https://t.co/WWYmwnQO68",1
870430807344779264,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,0
870430815473332224,RT @bpHopeMag: The Ultimate Guide To Social Anxiety and Bipolar Disorder: https://t.co/e4tlm4lrRB #Bipolar #MentalHealth,1
870430822129582080,y'all i was having an anxiety attack yesterday thinking i wouldn't be able to go to school tomorrow bc i had no gas and couldn't pay tuition,1
870430829331316736,When your anxiety makes you constantly feel nauseous. It's been almost a week. Ugh. 🤢,1
870430838915293184,RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,0
870430839343124481,How food can improve your mental health - BBC News https://t.co/m2pEnai7yf https://t.co/BaMJtKNlJi,0
870430840412569600,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
870430843713540096,"RT @roinnslainte: ""The NFMHS project has been a priority for me as Minister and I’m delighted to see it progress this far"" -… ",0
870430845147914240,i gotta beat this depression. beat it in the face.,1
870430848838971394,Depression cure? Taking THIS every day could help symptoms https://t.co/WXAiakGChA,0
870430849606402048,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
870430849715630080,"RT @ABC: First lady Melania Trump calls Kathy Griffin's photo ""very disturbing""; ""makes you wonder about the mental health o… ",0
870430850583732224,RT @RevoltTV: Prayers up �? @AugustAlsina got real about his battle with depression &amp; liver disease #PositiveVibesONLY #watchREVOLT https://…,1
870430853062688768,Depression Era Dishes: 9 Budget Recipes That Are Still Good Enough To Eat Today https://t.co/2mFIw1422T,1
870430853582790658,RT @mistercakerz: DID THE #sleeppositionmeme by @time2slime !! IT ME SLEEPING AWAY MY ANXIETY- I MEAN SLEEPING FROM A HARD DAY OF WOR… ,1
