id,text,sentiment
1,"Hey, look - I found my social anxiety again. Was wondering where that went.",-1
2,RT @shannonpurser: Depression sucks. I'm in the middle of it rn. I know some of you are too. We're going to make it.,-1
3,RT @HRoyalThighness: Lol my social anxiety goes through the roof. Dunno bout this one mate lol https://t.co/9vTMgnRK7X,-1
4,"How to Deal with Stress, Anxiety and Bipolar Disorder - Anxiety is one of many troubling symptoms of bipolar di... https://t.co/34Al3y4eAE",-1
5,RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
6,@sabbunny I went there last Monday and I almost had an anxiety attack. there were so many people😩but we only spent… https://t.co/tnF3zXXl5T,-1
7,RT @loopzoop: Hello? 2 hour depression nap? Do you remember me...in monaco... i made u that bracelet,-1
8,Gossip Girl and Donald Trump give me so much anxiety,-1
9,"RT @lucasbavid: Me: I am gonna make art today, there's no reason to be depressed all day
My depression: https://t.co/uOD0RacMpB",-1
10,I'm glad I understand what it is now tho. I used to go through anxiety attacks &amp; be confused &amp; make it worse.,-1
11,RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,-1
12,"RT @RTFFacts: According to studies, high-anxiety people are more likely to make bad decisions because they tend to catastrophize uncertain…",1
13,"Anyone looking for organic products that can help with; boosting energy, depression, pain, inflammation, diabetes, sleep, and more. DM me 🤙",-1
14,RT @oraltwjnk: Depression https://t.co/g4QIZjnRj1,-1
15,UR PRECIOUS AND ADORABLE HBAHDDHADDBAJ https://t.co/MR6GwE7Aex,1
16,"I am delighted to pledge support for people with mental health problems, in line with Mind's manifesto:... https://t.co/WWYmwnQO68",-1
17,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
18,It’s time for physicists to talk about mental health https://t.co/R1bRZG9gpD,0
19,RT @bpHopeMag: The Ultimate Guide To Social Anxiety and Bipolar Disorder: https://t.co/e4tlm4lrRB #Bipolar #MentalHealth,-1
20,I like how we believe and know many depression and mood swing issues are spiritual battles. We can't be cloud... https://t.co/WiyQLfopAO,0
21,RT @_Liviiiiii: it's fucking me https://t.co/808i3s7hmQ,0
22,y'all i was having an anxiety attack yesterday thinking i wouldn't be able to go to school tomorrow bc i had no gas and couldn't pay tuition,-1
